timestamp	step	train_subparts_ap
1654119500412	126	0.0
1654119639728	127	0.0
1654119770465	128	0.0
1654119907005	129	0.0
1654120042697	130	0.0
1654120163529	131	0.0
1654120283229	132	0.0
1654120407810	133	0.0
1654120531777	134	0.0
1654120649170	135	0.0
1654120781959	136	0.0
1654120907890	137	0.0
1654121023346	138	0.0
1654121150016	139	0.0
1654121269906	140	0.0
1654121393575	141	0.0
1654121507538	142	0.0
1654121610197	143	0.0
1654121725254	144	0.0
1654121844577	145	0.0
1654121957293	146	0.0
1654122066394	147	0.0
1654122170153	148	0.0
1654122308253	149	0.0
1654122423354	150	0.0
1654122552957	151	0.0
1654122660857	152	0.0
1654122773878	153	0.0
1654122880785	154	0.0
1654123015862	155	0.0
1654123116651	156	0.0
1654123243985	157	0.0
1654123352244	158	0.0
1654123480585	159	0.0
1654123590723	160	0.0
1654123714543	161	0.0
1654123864975	162	0.0
1654123984235	163	0.0
1654124105329	164	0.0
1654124214242	165	0.0
1654124333325	166	0.0
1654124444173	167	0.0
1654124563015	168	0.0
1654124684552	169	0.0
1654124788406	170	0.0
1654124899781	171	0.0
1654125007300	172	0.0
1654125131192	173	0.0
1654125252600	174	0.0
1654125384750	175	0.0
1654125494201	176	0.0
1654125614038	177	0.0
1654125724708	178	0.0
1654125859098	179	0.0
1654125975420	180	0.0
1654126075263	181	0.0
1654126198255	182	0.0
1654126310201	183	0.0
1654126440180	184	0.0
1654126555224	185	0.0
1654126687089	186	0.0
1654126809643	187	0.0
1654126937005	188	0.0
1654127077838	189	0.0
1654127198621	190	0.0
1654127312972	191	0.0
1654127421672	192	0.0
1654127537510	193	0.0
1654127689426	194	0.0
1654127835590	195	0.0
1654127939684	196	0.0
1654128054963	197	0.0
1654128191352	198	0.0
1654128326258	199	0.0
1654128466925	200	0.0
1654128590745	201	0.0
1654128719797	202	0.0
1654128840019	203	0.0
1654128952296	204	0.0
1654129063781	205	0.0
1654129196696	206	0.0
1654129336595	207	0.0
1654129445778	208	0.0
1654129616828	209	0.0
1654129745071	210	0.0
1654129887986	211	0.0
1654130005226	212	0.0
1654130112925	213	0.0
1654130226908	214	0.0
1654130350199	215	0.0
1654130464813	216	0.0
1654130583653	217	0.0
1654130698396	218	0.0
1654130831864	219	0.0
1654130954689	220	0.0
1654131077134	221	0.0
1654131203919	222	0.0
1654131357919	223	0.0
1654131487928	224	0.0
1654131595293	225	0.0
1654131703947	226	0.0
1654131815469	227	0.0
1654131933084	228	0.0
1654132061640	229	0.0
1654132159691	230	0.0
1654132305296	231	0.0
1654132423279	232	0.0
1654132541919	233	0.0
1654132684892	234	0.0
1654132803834	235	0.0
1654132921771	236	0.0
1654133048560	237	0.0
1654133170721	238	0.0
1654133290501	239	0.0
