               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 106,            0.026826,            0.017371,            0.002211,             0.94659,             0.92026,             0.94687,             0.74327,            0.020771,            0.013639,            0.001489,           0.0082675,           0.0082675,           0.0082675
                 107,            0.027528,             0.01659,           0.0020856,              0.9589,             0.90502,              0.9392,             0.71978,            0.020722,            0.013548,            0.001371,            0.008251,            0.008251,            0.008251
                 108,            0.027543,            0.017528,           0.0021976,             0.95072,             0.91302,             0.94338,             0.72499,            0.020946,            0.013618,           0.0013645,           0.0082345,           0.0082345,           0.0082345
                 109,            0.027314,            0.018101,           0.0022736,             0.95151,             0.91202,             0.94363,             0.74374,             0.02016,            0.013369,           0.0014488,            0.008218,            0.008218,            0.008218
                 110,            0.025864,            0.016306,            0.002163,             0.95536,             0.91794,             0.94047,             0.74067,            0.020133,            0.013382,           0.0014606,           0.0082015,           0.0082015,           0.0082015
                 111,            0.025718,            0.016224,           0.0019657,             0.95861,             0.89808,             0.93868,             0.72972,            0.020676,            0.014007,           0.0017566,            0.008185,            0.008185,            0.008185
                 112,            0.026199,            0.017239,           0.0022515,             0.94754,             0.89402,             0.94373,             0.73614,            0.020259,            0.014039,           0.0015989,           0.0081685,           0.0081685,           0.0081685
                 113,            0.026708,            0.016766,           0.0021768,             0.94057,             0.90965,             0.94156,             0.73351,            0.021763,            0.014233,           0.0014626,            0.008152,            0.008152,            0.008152
                 114,            0.026264,            0.017132,           0.0021261,             0.93889,             0.90596,             0.94239,             0.73831,            0.019641,            0.013216,           0.0013994,           0.0081355,           0.0081355,           0.0081355
                 115,            0.026314,            0.016833,           0.0023061,             0.95603,             0.90474,             0.93828,             0.73911,            0.020175,             0.01368,           0.0014737,            0.008119,            0.008119,            0.008119
                 116,            0.026446,            0.017517,           0.0022872,             0.94441,             0.90887,             0.93955,             0.73861,            0.019853,            0.013665,           0.0014567,           0.0081025,           0.0081025,           0.0081025
                 117,            0.026716,            0.016086,           0.0021157,             0.96219,             0.89711,             0.94667,             0.74291,            0.020842,            0.013298,           0.0013555,            0.008086,            0.008086,            0.008086
                 118,             0.02662,            0.017086,           0.0021477,             0.95688,             0.89986,             0.94878,             0.75119,            0.020126,            0.013187,            0.001376,           0.0080695,           0.0080695,           0.0080695
                 119,            0.025337,            0.015903,           0.0020152,             0.97118,             0.90596,             0.94226,             0.74436,            0.020255,            0.013507,           0.0013753,            0.008053,            0.008053,            0.008053
                 120,            0.026015,            0.016223,           0.0021237,             0.93132,             0.90946,             0.94295,             0.73197,            0.020267,            0.013375,           0.0016034,           0.0080365,           0.0080365,           0.0080365
                 121,            0.025814,            0.016544,             0.00204,             0.95579,             0.92012,             0.94663,             0.74569,            0.019422,            0.012717,           0.0017691,             0.00802,             0.00802,             0.00802
                 122,            0.025977,            0.016395,           0.0021967,             0.96366,             0.89737,             0.94332,             0.74593,             0.01981,            0.013158,           0.0013843,           0.0080035,           0.0080035,           0.0080035
                 123,             0.02586,            0.016667,           0.0021365,             0.96589,             0.86716,             0.93928,               0.733,            0.020576,            0.013805,           0.0013593,            0.007987,            0.007987,            0.007987
                 124,            0.026657,            0.016698,           0.0020994,             0.96075,             0.90928,             0.94755,             0.74449,            0.019321,            0.013045,           0.0013053,           0.0079705,           0.0079705,           0.0079705
                 125,            0.026201,            0.016458,           0.0021358,             0.96395,             0.91503,             0.95079,               0.753,            0.019854,            0.012823,            0.001366,            0.007954,            0.007954,            0.007954
                 126,            0.025383,            0.017167,           0.0020181,             0.93652,               0.917,             0.95059,             0.75239,             0.01939,            0.013151,           0.0015773,           0.0079375,           0.0079375,           0.0079375
                 127,            0.025272,            0.017197,           0.0022544,             0.95947,             0.92041,             0.94409,             0.74337,             0.01999,            0.013127,           0.0017209,            0.007921,            0.007921,            0.007921
                 128,            0.025097,             0.01579,            0.002048,             0.96187,             0.91778,             0.94133,              0.7576,            0.019273,            0.012565,           0.0015583,           0.0079045,           0.0079045,           0.0079045
                 129,            0.026335,            0.016225,           0.0020766,             0.96834,             0.88597,             0.94099,             0.74089,            0.019389,            0.012985,           0.0014649,            0.007888,            0.007888,            0.007888
                 130,            0.025867,            0.016459,           0.0019594,             0.94107,             0.91701,             0.94649,             0.75064,            0.018978,            0.012702,           0.0012341,           0.0078715,           0.0078715,           0.0078715
                 131,            0.026546,            0.017691,           0.0020575,             0.94207,             0.89965,              0.9401,             0.74048,            0.019887,            0.013345,           0.0015047,            0.007855,            0.007855,            0.007855
                 132,            0.025773,            0.016721,           0.0021375,             0.96087,             0.91365,             0.94817,             0.75121,            0.020035,            0.012665,           0.0013491,           0.0078385,           0.0078385,           0.0078385
                 133,            0.026578,            0.016421,           0.0023207,             0.96219,             0.90811,             0.94864,             0.74402,            0.019836,            0.012682,           0.0013162,            0.007822,            0.007822,            0.007822
                 134,            0.024199,             0.01635,           0.0018518,             0.95509,             0.89985,             0.94555,             0.74379,            0.019723,            0.012813,           0.0015359,           0.0078055,           0.0078055,           0.0078055
