               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  17,            0.048609,            0.026624,           0.0042038,             0.86129,             0.74282,             0.81167,             0.39484,            0.040507,             0.02215,           0.0031566,            0.008416,            0.008416,            0.008416
                  18,            0.046353,            0.027135,           0.0037861,             0.92048,             0.80185,             0.86895,             0.52857,            0.034649,            0.020036,           0.0031107,            0.008317,            0.008317,            0.008317
                  19,            0.043553,            0.025316,           0.0038059,             0.92699,             0.81468,             0.87604,             0.52554,             0.03501,            0.019554,           0.0029859,            0.008218,            0.008218,            0.008218
                  20,            0.042575,            0.024009,           0.0036188,             0.90473,             0.82523,             0.87547,                0.49,              0.0382,            0.020419,           0.0026114,            0.008119,            0.008119,            0.008119
                  21,            0.043054,            0.025136,           0.0034422,             0.91857,             0.81714,             0.88887,             0.55746,            0.033461,            0.019076,           0.0032381,             0.00802,             0.00802,             0.00802
                  22,            0.042696,            0.024956,           0.0035961,             0.96563,             0.76964,             0.87094,             0.53296,            0.034341,            0.019418,           0.0023759,            0.007921,            0.007921,            0.007921
                  23,            0.042676,            0.024376,           0.0036675,             0.89943,              0.8227,             0.88899,             0.55987,            0.031875,            0.019105,           0.0024945,            0.007822,            0.007822,            0.007822
                  24,            0.039733,             0.02582,           0.0034322,             0.94202,             0.83125,             0.90187,             0.56969,            0.032294,            0.018424,           0.0023436,            0.007723,            0.007723,            0.007723
                  25,            0.039269,            0.022717,            0.003339,             0.93441,             0.81098,             0.87661,             0.51647,            0.034097,            0.019401,           0.0026091,            0.007624,            0.007624,            0.007624
                  26,            0.039106,            0.023713,           0.0033217,             0.92755,             0.83898,             0.89448,             0.58548,            0.032034,            0.018398,           0.0026422,            0.007525,            0.007525,            0.007525
                  27,            0.040863,            0.024016,           0.0033124,             0.92344,             0.83351,             0.90562,             0.57041,             0.03287,            0.018085,           0.0022503,            0.007426,            0.007426,            0.007426
                  28,            0.039654,            0.022783,           0.0033052,             0.94908,             0.82889,             0.91173,             0.60706,            0.029535,            0.017977,            0.002454,            0.007327,            0.007327,            0.007327
                  29,            0.037422,            0.024023,           0.0031968,             0.94609,             0.82902,             0.90173,             0.60093,            0.028969,            0.017807,           0.0021371,            0.007228,            0.007228,            0.007228
                  30,            0.036963,            0.022127,           0.0032205,             0.96311,             0.82202,             0.90606,             0.56868,            0.030012,            0.017511,            0.001991,            0.007129,            0.007129,            0.007129
                  31,             0.03711,            0.022159,           0.0031523,             0.93273,              0.8405,             0.91037,              0.5922,            0.032569,            0.017915,           0.0020671,             0.00703,             0.00703,             0.00703
                  32,            0.037458,            0.021775,           0.0032287,             0.96595,             0.80993,             0.91152,             0.60539,            0.028761,            0.018262,           0.0021731,            0.006931,            0.006931,            0.006931
                  33,            0.036967,            0.021697,           0.0030223,             0.94178,             0.82874,             0.90101,             0.57446,            0.030172,            0.018077,           0.0023118,            0.006832,            0.006832,            0.006832
                  34,              0.0373,            0.023253,           0.0030602,             0.94542,             0.81292,             0.90308,             0.60969,            0.029381,            0.018061,           0.0019063,            0.006733,            0.006733,            0.006733
                  35,            0.034505,            0.021546,           0.0028274,             0.93333,             0.83678,             0.90698,             0.58719,            0.029713,            0.018136,           0.0021453,            0.006634,            0.006634,            0.006634
